Course,Prerequisite_3_grade,Part_Time,Remarks,Prerequisite_1_grade,Face_to_Face,Prerequisite_2,Description,Online,Duration_Time,Currency,Country,Career_Outcomes,Faculty,Prerequisite_2_grade,Availability,City,Int_Fees,Prerequisite_3,Blended,University,Duration,Level_Code,Local_Fees,Prerequisite_1,Full_Time,Currency_Time,Website,Course_Lang,Distance,Offline
Bachelor of Accounting - MGB001,,yes,,65,yes,IELTS,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",yes,Years,AUD,Australia,Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Business & Commerce & Finance & Accounting,6.0,A,Canberra,"32,300",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=BRUCE&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,no,yes
Bachelor of Accounting - MGB001,,yes,,65,yes,IELTS,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",yes,Years,AUD,India,Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Business & Commerce & Finance & Accounting,6.0,A,Mumbai,"32,300",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=BRUCE&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,no,yes
Bachelor of Accounting - MGB001,,yes,,65,yes,IELTS,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",yes,Years,AUD,Australia,Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Business & Commerce & Finance & Accounting,6.0,A,Canberra,"32,300",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=SVKM&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,no,yes
Bachelor of Accounting - MGB001,,yes,,65,yes,IELTS,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",yes,Years,AUD,India,Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Business & Commerce & Finance & Accounting,6.0,A,Mumbai,"32,300",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=SVKM&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,no,yes
Bachelor of Applied Science in Forensic Studies - 142JA,,yes,,60,yes,IELTS,"If you’re interested in pursuing a career as a forensic laboratory scientist, then this is the degree for you. At UC, we focus on the laboratory-based areas of forensic biology and forensic chemistry. You’ll undertake subjects which arm you with the necessary specialisations and complement the broader laboratory science/human science aspects of the degree. The Forensic Studies program is part of the National Centre for Forensic Studies (NCFS) – a collaboration between UC, the Canberra Institute of Technology and the Australian Federal Police (AFP). Over the course of your studies, you’ll benefit from the opportunities this unique partnership brings, including access to specialist equipment and the latest technologies in forensic analysis.",yes,Years,AUD,Australia,Analytical chemist / Member of Australian Federal Police / DNA analyst / Educator / Formulation chemist / Forensic toxicologist / Government health department officer / Laboratory scientist / Policy officer / Public health officer / Quality assurance officer,Law,6.0,A,Canberra,"32,900",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=142JA&version_number=3&title=Bachelor-of-Applied-Science-in-Forensic-Studies&location=BRUCE&rank=AAA&faculty=Faculty-of-Science-and-Technology&year=2021,English,no,yes
Bachelor of Arts (Creative Writing) - ARB001,,yes,,60,yes,IELTS,"The University of Canberra’s writing program is the oldest of its kind in Australia, with a long and established record of excellence. The Bachelor of Arts (Creative Writing) is staffed by award-winning, industry-active novelists, poets, screenwriters, editors and publishers who’ll help you emerge from your degree with an impressive portfolio of dynamic, creative and professional work. ",no,Years,AUD,Australia,Author / Copywriter / Journalist / Playwright / Screenwriter / Scriptwriter / Communications manager / Publisher / Editor / Media analyst / Technical writer / Web content manager,Computer Science & Information Technology,6.0,A,Canberra,"29,000",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB001&version_number=1&title=Bachelor-of-Arts-(Creative-Writing)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,no,yes
Bachelor of Arts (Culture and Heritage) - ARB002,,yes,,60,yes,IELTS,"This distinctive course allows you to take your passion for culture and heritage, and turn it into a rewarding and sustainable career. Building on the core skills and knowledge embedded in the Arts degree, you’ll bring the richness and complexity of culture and heritage alive across its many forms – from the material, to the intangible and the digital.",no,Years,AUD,Australia,Curator / Gallery manager / Collections manager / Museum director / Heritage consultant / Culture and heritage officer / Heritage site manager / Heritage and cultural policy adviser / Digital heritage manager / Indigenous heritage officer / Records manager / Conservator,Humanities and Social Science,6.0,A,Canberra,"29,000",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB002&version_number=1&title=Bachelor-of-Arts-(Culture-and-Heritage)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,no,yes
Bachelor of Arts (Digital Media) - ARB003,,yes,,60,yes,IELTS,"From the mobile phone to the game console, digital technology has revolutionised the way we communicate, learn and play. It’s an area of the economy that’s growing in importance and one which is predicted to see job growth into the foreseeable future. The University of Canberra’s Bachelor of Arts (Digital Media) is a specialist course that focuses on the essential practical knowledge needed to create complex interactive media.",no,Years,AUD,Australia,Digital media manager / Game designer / Special effects designer / Digital media producer / Animator / Videographer / Digital media adviser / Digital media designer / Motion graphics designer / Digital media strategist / Mobile developer / Game artist / Communications manager / Multimedia artist / Digital media sales manager / Digital photographer / Digital media artist / Virtual and augmented reality designer / Sound designer / Independent digital media specialist,Computer Science & Information Technology,6.0,A,Canberra,"29,000",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB003&version_number=1&title=Bachelor-of-Arts-(Digital-Media)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,no,yes
Bachelor of Arts (Film Production) - ARB004,,yes,,60,yes,IELTS,"Throughout this course you’ll leverage your interest in filmmaking as you expand your creative thinking, explore the craft of storytelling and, ultimately, transform into a professional film practitioner. You’ll understand the ins and outs of making a film and, most importantly, the answer to the question: “What film are you going to make?”",yes,Years,AUD,Australia,"Filmmaker / Creative producer  / Director  / Documentary filmmaker / Screenwriter / First assistant director / Director of photography / Editor / Continuity supervisor / Sound designer / Production designer / Costume designer / Production manager / Camera operator / Camera assistant (clapper loader, focus puller, data wrangler) / Gaffer / Grip / Sound recorder / Boom operator / Props master / Assistant editor / Special effects supervisor / Digital imaging technician",Mass Communication & Media,6.0,A,Canberra,"29,000",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB004&version_number=1&title=Bachelor-of-Arts-(Film-Production)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,no,yes
Bachelor of Arts (Global Studies) - ARB005,,yes,,60,yes,IELTS,"The Bachelor of Arts (Global Studies) will prepare you to become an active global citizen; the type of person who can find creative ways to address the challenges faced by the international community, both now and in the future. You’ll explore the complex, interconnected and culturally diverse nature of the contemporary world, and think critically about issues within their global context.",no,Years,AUD,Australia,International project manager / Campaign manager / International consultant / Journalist / International development worker / Policy officer / Community development educator / Program analyst / Social impact assessment consultant / Academic / International diplomat / Company director / Tourism manager / Public servant,Business & Commerce & Finance & Accounting,6.0,A,Canberra,"29,000",,yes,University of Canberra,3,BA,CSP,year 12,yes,year,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB005&version_number=1&title=Bachelor-of-Arts-(Global-Studies)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,no,yes
