Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
BA,University of Canberra,Canberra,Bachelor of Accounting - MGB001,Business & Commerce & Finance & Accounting,"32,300",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,65,6,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=BRUCE&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Australia,yes,yes,no,yes,yes,
BA,University of Canberra,Mumbai,Bachelor of Accounting - MGB001,Business & Commerce & Finance & Accounting,"32,300",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,65,6,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=BRUCE&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,India,yes,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Accounting - MGB001,Business & Commerce & Finance & Accounting,"32,300",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,65,6,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=SVKM&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,Australia,yes,yes,no,yes,yes,
BA,University of Canberra,Mumbai,Bachelor of Accounting - MGB001,Business & Commerce & Finance & Accounting,"32,300",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,65,6,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGB001&version_number=1&title=Bachelor-of-Accounting&location=SVKM&rank=AAA&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The aim of the Bachelor of Accounting is to produce highly competent, work-ready graduates with an in-depth discipline knowledge, and the technical skills needed to work as socially responsible accounting professionals across the private and public sectors.",Accountant / Accounts officer / Auditor / Tax accountant / Financial accountant / Management accountant / Chief financial officer / Financial analyst / Financial controller,India,yes,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Applied Science in Forensic Studies - 142JA,Law,"32,900",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=142JA&version_number=3&title=Bachelor-of-Applied-Science-in-Forensic-Studies&location=BRUCE&rank=AAA&faculty=Faculty-of-Science-and-Technology&year=2021,English,A,"If you’re interested in pursuing a career as a forensic laboratory scientist, then this is the degree for you. At UC, we focus on the laboratory-based areas of forensic biology and forensic chemistry. You’ll undertake subjects which arm you with the necessary specialisations and complement the broader laboratory science/human science aspects of the degree. The Forensic Studies program is part of the National Centre for Forensic Studies (NCFS) – a collaboration between UC, the Canberra Institute of Technology and the Australian Federal Police (AFP). Over the course of your studies, you’ll benefit from the opportunities this unique partnership brings, including access to specialist equipment and the latest technologies in forensic analysis.",Analytical chemist / Member of Australian Federal Police / DNA analyst / Educator / Formulation chemist / Forensic toxicologist / Government health department officer / Laboratory scientist / Policy officer / Public health officer / Quality assurance officer,Australia,yes,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Arts (Creative Writing) - ARB001,Computer Science & Information Technology,"29,000",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB001&version_number=1&title=Bachelor-of-Arts-(Creative-Writing)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"The University of Canberra’s writing program is the oldest of its kind in Australia, with a long and established record of excellence. The Bachelor of Arts (Creative Writing) is staffed by award-winning, industry-active novelists, poets, screenwriters, editors and publishers who’ll help you emerge from your degree with an impressive portfolio of dynamic, creative and professional work. ",Author / Copywriter / Journalist / Playwright / Screenwriter / Scriptwriter / Communications manager / Publisher / Editor / Media analyst / Technical writer / Web content manager,Australia,no,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Arts (Culture and Heritage) - ARB002,Humanities and Social Science,"29,000",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB002&version_number=1&title=Bachelor-of-Arts-(Culture-and-Heritage)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"This distinctive course allows you to take your passion for culture and heritage, and turn it into a rewarding and sustainable career. Building on the core skills and knowledge embedded in the Arts degree, you’ll bring the richness and complexity of culture and heritage alive across its many forms – from the material, to the intangible and the digital.",Curator / Gallery manager / Collections manager / Museum director / Heritage consultant / Culture and heritage officer / Heritage site manager / Heritage and cultural policy adviser / Digital heritage manager / Indigenous heritage officer / Records manager / Conservator,Australia,no,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Arts (Digital Media) - ARB003,Computer Science & Information Technology,"29,000",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB003&version_number=1&title=Bachelor-of-Arts-(Digital-Media)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"From the mobile phone to the game console, digital technology has revolutionised the way we communicate, learn and play. It’s an area of the economy that’s growing in importance and one which is predicted to see job growth into the foreseeable future. The University of Canberra’s Bachelor of Arts (Digital Media) is a specialist course that focuses on the essential practical knowledge needed to create complex interactive media.",Digital media manager / Game designer / Special effects designer / Digital media producer / Animator / Videographer / Digital media adviser / Digital media designer / Motion graphics designer / Digital media strategist / Mobile developer / Game artist / Communications manager / Multimedia artist / Digital media sales manager / Digital photographer / Digital media artist / Virtual and augmented reality designer / Sound designer / Independent digital media specialist,Australia,no,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Arts (Film Production) - ARB004,Mass Communication & Media,"29,000",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB004&version_number=1&title=Bachelor-of-Arts-(Film-Production)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"Throughout this course you’ll leverage your interest in filmmaking as you expand your creative thinking, explore the craft of storytelling and, ultimately, transform into a professional film practitioner. You’ll understand the ins and outs of making a film and, most importantly, the answer to the question: “What film are you going to make?”","Filmmaker / Creative producer  / Director  / Documentary filmmaker / Screenwriter / First assistant director / Director of photography / Editor / Continuity supervisor / Sound designer / Production designer / Costume designer / Production manager / Camera operator / Camera assistant (clapper loader, focus puller, data wrangler) / Gaffer / Grip / Sound recorder / Boom operator / Props master / Assistant editor / Special effects supervisor / Digital imaging technician",Australia,yes,yes,no,yes,yes,
BA,University of Canberra,Canberra,Bachelor of Arts (Global Studies) - ARB005,Business & Commerce & Finance & Accounting,"29,000",CSP,AUD,year,3,Years,yes,yes,year 12,IELTS,,60,6,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARB005&version_number=1&title=Bachelor-of-Arts-(Global-Studies)&location=BRUCE&rank=AAA&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"The Bachelor of Arts (Global Studies) will prepare you to become an active global citizen; the type of person who can find creative ways to address the challenges faced by the international community, both now and in the future. You’ll explore the complex, interconnected and culturally diverse nature of the contemporary world, and think critically about issues within their global context.",International project manager / Campaign manager / International consultant / Journalist / International development worker / Policy officer / Community development educator / Program analyst / Social impact assessment consultant / Academic / International diplomat / Company director / Tourism manager / Public servant,Australia,no,yes,no,yes,yes,
