Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,University of Canberra,Canberra,Executive Master of Public Administration - 310JA,Business & Commerce & Finance & Accounting,,"25,400",AUD,year,18,Months,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=310JA&version_number=1&title=Executive-Master-of-Public-Administration&location=BRUCE&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"If you are an aspiring future leader who is keen to work in a high-level position within the public sector, this multidisciplinary degree will arm you with the leadership and policy skills you need to manage organisations and direct public sector change.",Chief administration officer / Public administration consultant / General operations manager / Labour relations manager / Program analyst / Program director / Director of development,Australia,,,,,,
PG,University of Canberra,Canberra,Master of Applied Clinical Epidemiology (Sport) - HLM201,Medical and Nursing,,"20,100",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=HLM201&version_number=1&title=Master-of-Applied-Clinical-Epidemiology-(Sport)&location=BRUCE&rank=CCC&faculty=Faculty-of-Health&year=2021,English,A,"The Master of Applied Clinical Epidemiology (MACE), offered in collaboration with the Australian Institute of Sport (AIS) as an industry partner, prepares graduates for a career as a performance health management specialist within Australia and internationally.",High-performance sport / Academies of sport / Sport institutes / Australian Defence Force / Professional sports teams,Australia,yes,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Architecture - 913AA,Computer Science & Information Technology,"33,200","CSP - Indicative Student Contribution Amount*: 8,100 

Full Fee: 30,000",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=913AA&version_number=5&title=Master-of-Architecture&location=BRUCE&rank=CCC&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,This course has a unique status as the only postgraduate architecture program in Canberra – one of the world’s most internationally recognised and fascinating model design cities. This professionally accredited two-year course focuses on the contemporary issues informing urban architecture and promotes the processes of urbanisation in architectural research.,"Architect / Architectural technologist / Architectural heritage specialist / Building designer / Building scientist / Urban designer / Policymaker / Architectural journalist, researcher or educator / BIM modeller / 3D renderer / Project manager",Australia,no,yes,no,yes,no,
PG,University of Canberra,Canberra,Master of Arts in Creative and Cultural Futures - ARM101,Humanities and Social Science,"32,900","23,000",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=ARM101&version_number=1&title=Master-of-Arts-in-Creative-and-Cultural-Futures&location=BRUCE&rank=CCC&faculty=Faculty-of-Arts-and-Design&year=2021,English,A,"The versatile Master of Arts in Creative and Cultural Futures will prepare you to be a leader in the rapidly changing cultural sector. Based in the national capital of Canberra – home to Australia’s major cultural institutions and an ever-increasing creative community – you can use the course’s interdisciplinary learning environment to expand your knowledge and networks, build or update your digital skills, develop your entrepreneurial potential, and apply your creativity in real-world settings using Australian and international industry case studies.",Arts administrator / Gallery/Museum director / Digital collections strategist / Arts/cultural policy analyst / Experience manager / Cultural content developer / Writer / Filmmaker / Multimedia developer / Cultural entrepreneur / Interpretation specialist / Conservator / Head of heritage / Heritage consultant / Curator / Gallery manager / Indigenous heritage officer / Collections manager / Heritage manager / Engineering heritage consultant / Historic buildings conservation officer / Culture and heritage officer / Heritage site manager / Heritage and cultural policy adviser,Australia,no,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Business Administration - 723AA,Business & Commerce & Finance & Accounting,"36,000","26,500",AUD,year,18,Months,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=723AA&version_number=5&title=Master-of-Business-Administration&location=BRUCE&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The University of Canberra’s Master of Business Administration (MBA) will provide you with the chance to develop high-level competencies relevant to a variety of different types of enterprises. You will study the subtle nuances of business in all its forms, with the view to securing future employment in an executive role, in senior management or as an entrepreneur.",Company director / President / Vice president / Chief executive officer / Chief financial officer / Board member / Marketing director / Entrepreneur / Management consultant / HR director / Venture capitalist / Head of finance / IT director / Angel investor / Health services director,Australia,yes,yes,no,yes,yes,
PG,University of Canberra,Bhutan,Master of Business Administration (Bhutan) - 723AL,Business & Commerce & Finance & Accounting,"36,000","26,500",AUD,year,18,Months,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=723AL&version_number=3&title=Master-of-Business-Administration-(Bhutan)&location=RIM-BHUTAN&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,I,"The University of Canberra MBA offers individuals aspiring to senior management and executive roles the opportunity to develop skills and competencies relevant to the effective management of enterprises. The course covers all aspects of management, including managing people, accounting and finance, economics, information and decision making.  The MBA emphasises development of skills required to succeed in increasingly complex business environments such as international trade or public administration working across legal, industry or cultural boundaries.",Company director / President / Vice president / Chief executive officer / Chief financial officer / Board member / Marketing director / Entrepreneur / Management consultant / HR director / Venture capitalist / Head of finance / IT director / Angel investor / Health services director,Bhutan,yes,yes,no,yes,yes,
PG,University of Canberra,Ningbo,Master of Business Administration (Ningbo) - 723AE,Business & Commerce & Finance & Accounting,"36,000","26,500",AUD,year,18,Months,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=723AE&version_number=4&title=Master-of-Business-Administration-(Ningbo)&location=NINGBO&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,I,"The University of Canberra MBA offers individuals aspiring to senior management and executive roles the opportunity to develop skills and competencies relevant to the effective management of enterprises. The course covers all aspects of management, including managing people, accounting and finance, economics, information and decision making.  The MBA emphasises development of skills required to succeed in increasingly complex business environments such as international trade or public administration working across legal, industry or cultural boundaries.",Company director / President / Vice president / Chief executive officer / Chief financial officer / Board member / Marketing director / Entrepreneur / Management consultant / HR director / Venture capitalist / Head of finance / IT director / Angel investor / Health services director,China,yes,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Business Administration (Plus) - MGM102,Business & Commerce & Finance & Accounting,"36,000","26,500",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=MGM102&version_number=1&title=Master-of-Business-Administration-(Plus)&location=BRUCE&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,A,"The University of Canberra MBA (Plus) offers individuals aspiring to senior management and executive roles a challenging and experiential education opportunity to develop skills and competencies relevant to managing an organisation.  This includes the identification of business opportunities, establishing and effectively managing enterprises and strategically positioning organisations in a local and global context.The course covers all aspects of contemporary business management, including business analytics and decision making, managing people and finances, marketing locally and globally, International business, the economic and political environment, entrepreneurship and innovation, leadership and, managing change.  The MBA (Plus) provides the opportunity to take 4 specialised units in more depth in an area which supports business management:  human resource management, marketing, or international business.",Company director / President / Vice president / Chief executive officer / Chief financial officer / Board member / Marketing director / Entrepreneur / Management consultant / HR director / Venture capitalist / Head of finance / IT director / Angel investor / Health services director,Australia,yes,yes,no,yes,yes,
PG,University of Canberra,Shanghai,Master of Business Administration (Shanghai) - 723AF,Computer Science & Information Technology,"36,000","26,500",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,"https://www.canberra.edu.au/coursesandunits/course?course_cd=723AF&version_number=4&title=Master-of-Business-Administration-(Shanghai)&location=ECUST&rank=CCC&faculty=Faculty-of-Business,-Government---Law&year=2021",English,I,"The University of Canberra MBA offers individuals aspiring to senior management and executive roles the opportunity to develop skills and competencies relevant to the effective management of enterprises. The course covers all aspects of management, including managing people, accounting and finance, economics, information and decision making.  The MBA emphasises development of skills required to succeed in increasingly complex business environments such as international trade or public administration working across legal, industry or cultural boundaries.",Company director / President / Vice president / Chief executive officer / Chief financial officer / Board member / Marketing director / Entrepreneur / Management consultant / HR director / Venture capitalist / Head of finance / IT director / Angel investor / Health services director,China,yes,yes,no,yes,yes,
PG,University of Canberra,Canberra,Master of Business Informatics - 309JA,Computer Science & Information Technology,"33,100","22,500",AUD,year,2,Years,yes,yes,IELTS,,,6.5,,,https://www.canberra.edu.au/coursesandunits/course?course_cd=309JA&version_number=2&title=Master-of-Business-Informatics&location=BRUCE&rank=CCC&faculty=Faculty-of-Science-and-Technology&year=2021,English,A,"If you’re in IT and looking to get ahead, then the UC Master of Business Informatic course offers the perfect opportunity to expand your skills in areas vital to the intertwined worlds of Business and Information Technology - while simultaneously gaining the knowledge and qualifications to give your career a much-needed boost.",IT security analyst / IT systems test engineer / business analyst / data scientist / IT project manager / systems architect / web developer / systems analyst / ICT consultant / information analyst / information systems manager / IT auditor / IT business manager / solutions engineer.,Australia,yes,yes,no,yes,yes,
